Analyzing 378 Когда тьма со всех сторон (Душа моя так ждет Тебя).pdf...

Char   | Width    | Gap After 
'E'      | 6.3245   | 0.1555
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.1506
'E'      | 6.3245   | 0.1425
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | -
'E'      | 6.3245   | -
's'      | 3.3995   | -
'u'      | 4.5752   | 0.0937
's'      | 3.3995   | -
'4'      | 4.3196   | -
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0518
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.1181
'[SPACE]' | 2.9290   | -
'[SPACE]' | 2.9290   | 0.0710
'[SPACE]' | 2.9290   | -
'E'      | 6.3245   | 0.0355
'[SPACE]' | 2.9290   | -
'К'      | 7.6237   | -
'о'      | 7.3991   | -
'г'      | 4.8578   | -
'д'      | 7.8343   | -
'а'      | 6.7252   | -
'[SPACE]' | 3.1730   | -
'с'      | 5.9389   | -
'т'      | 5.4335   | -
'р'      | 7.3710   | -
'а'      | 6.7252   | -
'х'      | 6.0793   | -
'о'      | 7.3991   | -
'м'      | 9.4910   | -
','      | 3.5100   | -
'[SPACE]' | 3.1730   | -
'к'      | 6.5146   | -
'а'      | 6.7252   | -
'к'      | 6.5146   | -
'[SPACE]' | 3.1730   | -
'к'      | 6.5146   | -
'о'      | 7.3991   | -
'л'      | 7.1604   | -
'ь'      | 6.5988   | -
'ц'      | 7.6097   | -
'о'      | 7.3991   | -
'м'      | 9.4910   | 0.0868
','      | 3.5100   | -
'[SPACE]' | 3.1730   | -
'о'      | 7.3991   | 0.0609
'к'      | 6.5146   | -
