
================================================================================
СТРАНИЦА 1
================================================================================
DEBUG_CHAR: char='и', x0=385.19, y0=131.33, x1=399.28, y1=157.37, found_y=157.37
DEBUG_CHAR: char='т', x0=399.28, y0=131.33, x1=409.35, y1=157.37, found_y=157.37
DEBUG_CHAR: char='е', x0=409.35, y0=131.33, x1=422.32, y1=157.37, found_y=157.37
DEBUG_CHAR: char='л', x0=422.22, y0=131.33, x1=435.50, y1=157.37, found_y=157.37
DEBUG_CHAR: char='ь', x0=435.50, y0=131.33, x1=447.74, y1=157.37, found_y=157.37
DEBUG_CHAR: char=' ', x0=447.70, y0=131.33, x1=453.59, y1=157.37, found_y=157.37
DEBUG_CHAR: char=' ', x0=85.10, y0=156.71, x1=89.63, y1=176.75, found_y=176.75
DEBUG_CHAR: char=' ', x0=85.10, y0=176.06, x1=93.80, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=93.80, y0=176.06, x1=102.50, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=102.38, y0=176.06, x1=111.08, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=111.08, y0=176.06, x1=119.77, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=119.65, y0=176.06, x1=128.35, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=128.39, y0=176.06, x1=137.09, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=137.09, y0=176.06, x1=145.79, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=145.66, y0=176.06, x1=154.36, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=154.36, y0=176.06, x1=163.06, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=163.06, y0=176.06, x1=171.76, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=171.76, y0=176.06, x1=180.45, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=180.35, y0=176.06, x1=189.05, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=189.09, y0=176.06, x1=197.79, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=197.79, y0=176.06, x1=206.49, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=206.49, y0=176.06, x1=215.18, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=215.18, y0=176.06, x1=223.88, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=223.78, y0=176.06, x1=232.48, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=232.48, y0=176.06, x1=241.18, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=241.06, y0=176.06, x1=249.75, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=249.79, y0=176.06, x1=258.49, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=258.49, y0=176.06, x1=267.19, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=267.07, y0=176.06, x1=275.76, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=275.76, y0=176.06, x1=284.46, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=284.46, y0=176.06, x1=293.16, y1=203.65, found_y=203.65
DEBUG_CHAR: char='A', x0=293.21, y0=176.06, x1=307.86, y1=203.65, found_y=203.65
DEBUG_CHAR: char='m', x0=307.85, y0=176.06, x1=323.42, y1=203.65, found_y=203.65
DEBUG_CHAR: char='7', x0=323.47, y0=186.38, x1=331.38, y1=204.22, found_y=203.65
DEBUG_CHAR: char=' ', x0=331.39, y0=176.06, x1=340.09, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=340.09, y0=176.06, x1=348.78, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=348.66, y0=176.06, x1=357.36, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=357.36, y0=176.06, x1=366.06, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=365.94, y0=176.06, x1=374.64, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=374.68, y0=176.06, x1=383.37, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=383.37, y0=176.06, x1=392.07, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=391.95, y0=176.06, x1=400.65, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=400.69, y0=176.06, x1=409.39, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=409.39, y0=176.06, x1=418.08, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=417.96, y0=176.06, x1=426.66, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=426.66, y0=176.06, x1=435.36, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=435.36, y0=176.06, x1=444.05, y1=203.65, found_y=203.65
DEBUG_CHAR: char='D', x0=444.22, y0=176.06, x1=458.69, y1=203.65, found_y=203.65
DEBUG_CHAR: char=' ', x0=458.62, y0=176.06, x1=467.32, y1=203.65, found_y=203.65
DEBUG_CHAR: char='П', x0=85.10, y0=209.09, x1=101.51, y1=235.13, found_y=235.13
DEBUG_CHAR: char='р', x0=101.51, y0=209.09, x1=115.49, y1=235.13, found_y=235.13
DEBUG_CHAR: char='.', x0=115.49, y0=209.09, x1=122.45, y1=235.13, found_y=235.13
DEBUG_CHAR: char=':', x0=122.45, y0=209.09, x1=129.63, y1=235.13, found_y=235.13
DEBUG_CHAR: char=' ', x0=129.62, y0=209.09, x1=135.51, y1=235.13, found_y=235.13
DEBUG_CHAR: char=' ', x0=135.50, y0=209.09, x1=141.39, y1=235.13, found_y=235.13
DEBUG_CHAR: char='/', x0=141.38, y0=209.09, x1=151.43, y1=235.13, found_y=235.13
DEBUG_CHAR: char='/', x0=151.46, y0=209.09, x1=161.51, y1=235.13, found_y=235.13
DEBUG_CHAR: char=':', x0=161.54, y0=209.09, x1=168.52, y1=235.13, found_y=235.13
DEBUG_CHAR: char='Т', x0=168.38, y0=209.09, x1=181.06, y1=235.13, found_y=235.13
DEBUG_CHAR: char='ы', x0=181.06, y0=209.09, x1=198.40, y1=235.13, found_y=235.13
DEBUG_CHAR: char=' ', x0=198.48, y0=209.09, x1=204.37, y1=235.13, found_y=235.13
DEBUG_CHAR: char='в', x0=204.24, y0=209.09, x1=216.71, y1=235.13, found_y=235.13
DEBUG_CHAR: char='о', x0=216.71, y0=209.09, x1=230.43, y1=235.13, found_y=235.13
DEBUG_CHAR: char='з', x0=230.43, y0=209.09, x1=241.45, y1=235.13, found_y=235.13
DEBUG_CHAR: char='в', x0=241.45, y0=209.09, x1=253.92, y1=235.13, found_y=235.13
DEBUG_CHAR: char='е', x0=253.92, y0=209.09, x1=266.89, y1=235.13, found_y=235.13
DEBUG_CHAR: char='с', x0=266.89, y0=209.09, x1=277.90, y1=235.13, found_y=235.13
DEBUG_CHAR: char='е', x0=277.90, y0=209.09, x1=290.87, y1=235.13, found_y=235.13
DEBUG_CHAR: char='л', x0=290.77, y0=209.09, x1=304.05, y1=235.13, found_y=235.13
DEBUG_CHAR: char='и', x0=304.05, y0=209.09, x1=318.14, y1=235.13, found_y=235.13
DEBUG_CHAR: char='л', x0=318.01, y0=209.09, x1=331.29, y1=235.13, found_y=235.13
DEBUG_CHAR: char=' ', x0=331.29, y0=209.09, x1=337.17, y1=235.13, found_y=235.13
DEBUG_CHAR: char='д', x0=337.17, y0=209.09, x1=351.70, y1=235.13, found_y=235.13
DEBUG_CHAR: char='у', x0=351.70, y0=209.09, x1=363.50, y1=235.13, found_y=235.13
DEBUG_CHAR: char='ш', x0=363.50, y0=209.09, x1=382.48, y1=235.13, found_y=235.13
DEBUG_CHAR: char='у', x0=382.48, y0=209.09, x1=394.28, y1=235.13, found_y=235.13
DEBUG_CHAR: char=' ', x0=394.28, y0=209.09, x1=400.16, y1=235.13, found_y=235.13
DEBUG_CHAR: char='м', x0=400.16, y0=209.09, x1=417.77, y1=235.13, found_y=235.13
DEBUG_CHAR: char='о', x0=417.77, y0=209.09, x1=431.49, y1=235.13, found_y=235.13
DEBUG_CHAR: char='ю', x0=431.28, y0=209.09, x1=450.08, y1=235.13, found_y=235.13
DEBUG_CHAR: char=',', x0=450.08, y0=209.09, x1=456.59, y1=235.13, found_y=235.13
DEBUG_CHAR: char=' ', x0=456.58, y0=209.09, x1=462.47, y1=235.13, found_y=235.13
DEBUG_CHAR: char=' ', x0=85.10, y0=235.73, x1=93.80, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=93.80, y0=235.73, x1=102.50, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=102.38, y0=235.73, x1=111.08, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=111.08, y0=235.73, x1=119.77, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=119.65, y0=235.73, x1=128.35, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=128.39, y0=235.73, x1=137.09, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=137.09, y0=235.73, x1=145.79, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=145.66, y0=235.73, x1=154.36, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=154.36, y0=235.73, x1=163.06, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=163.06, y0=235.73, x1=171.76, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=171.76, y0=235.73, x1=180.45, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=180.35, y0=235.73, x1=189.05, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=189.09, y0=235.73, x1=197.79, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=197.79, y0=235.73, x1=206.49, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=206.49, y0=235.73, x1=215.18, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=215.18, y0=235.73, x1=223.88, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=223.78, y0=235.73, x1=232.48, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=232.48, y0=235.73, x1=241.18, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=241.06, y0=235.73, x1=249.75, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=249.79, y0=235.73, x1=258.49, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=258.49, y0=235.73, x1=267.19, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=267.07, y0=235.73, x1=275.76, y1=263.32, found_y=263.32
DEBUG_CHAR: char='G', x0=275.81, y0=235.73, x1=289.44, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=289.49, y0=235.73, x1=298.19, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=298.19, y0=235.73, x1=306.88, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=306.76, y0=235.73, x1=315.46, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=315.50, y0=235.73, x1=324.20, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=324.24, y0=235.73, x1=332.94, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=332.94, y0=235.73, x1=341.63, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=341.51, y0=235.73, x1=350.21, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=350.21, y0=235.73, x1=358.91, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=358.79, y0=235.73, x1=367.49, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=367.53, y0=235.73, x1=376.22, y1=263.32, found_y=263.32
DEBUG_CHAR: char='H', x0=376.27, y0=235.73, x1=391.66, y1=263.32, found_y=263.32
DEBUG_CHAR: char='7', x0=391.63, y0=246.05, x1=399.54, y1=263.89, found_y=263.32
DEBUG_CHAR: char=' ', x0=399.55, y0=235.73, x1=408.25, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=408.25, y0=235.73, x1=416.94, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=416.94, y0=235.73, x1=425.64, y1=263.32, found_y=263.32
DEBUG_CHAR: char='E', x0=425.59, y0=235.73, x1=438.11, y1=263.32, found_y=263.32
DEBUG_CHAR: char='m', x0=438.19, y0=235.73, x1=453.76, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=453.70, y0=235.73, x1=462.40, y1=263.32, found_y=263.32
DEBUG_CHAR: char=' ', x0=85.10, y0=268.76, x1=90.99, y1=294.80, found_y=294.80
DEBUG_CHAR: char=' ', x0=90.98, y0=268.76, x1=96.87, y1=294.80, found_y=294.80
DEBUG_CHAR: char=' ', x0=96.86, y0=268.76, x1=102.75, y1=294.80, found_y=294.80
DEBUG_CHAR: char=' ', x0=102.74, y0=268.76, x1=108.63, y1=294.80, found_y=294.80
DEBUG_CHAR: char=' ', x0=108.62, y0=268.76, x1=114.51, y1=294.80, found_y=294.80
DEBUG_CHAR: char=' ', x0=114.50, y0=268.76, x1=120.39, y1=294.80, found_y=294.80
DEBUG_CHAR: char=' ', x0=120.38, y0=268.76, x1=126.27, y1=294.80, found_y=294.80
DEBUG_CHAR: char=' ', x0=126.26, y0=268.76, x1=132.15, y1=294.80, found_y=294.80
DEBUG_CHAR: char=' ', x0=132.14, y0=268.76, x1=138.03, y1=294.80, found_y=294.80
DEBUG_CHAR: char=' ', x0=138.02, y0=268.76, x1=143.91, y1=294.80, found_y=294.80
DEBUG_CHAR: char='Я', x0=143.90, y0=268.76, x1=158.35, y1=294.80, found_y=294.80
DEBUG_CHAR: char=' ', x0=158.35, y0=268.76, x1=164.24, y1=294.80, found_y=294.80
DEBUG_CHAR: char='Т', x0=164.24, y0=268.76, x1=176.92, y1=294.80, found_y=294.80
DEBUG_CHAR: char='е', x0=177.00, y0=268.76, x1=189.96, y1=294.80, found_y=294.80
DEBUG_CHAR: char='б', x0=189.83, y0=268.76, x1=203.71, y1=294.80, found_y=294.80
DEBUG_CHAR: char='е', x0=203.64, y0=268.76, x1=216.60, y1=294.80, found_y=294.80
DEBUG_CHAR: char=',', x0=216.60, y0=268.76, x1=223.11, y1=294.80, found_y=294.80
DEBUG_CHAR: char=' ', x0=223.11, y0=268.76, x1=229.00, y1=294.80, found_y=294.80
DEBUG_CHAR: char='Г', x0=229.00, y0=268.76, x1=240.20, y1=294.80, found_y=294.80
DEBUG_CHAR: char='о', x0=240.12, y0=268.76, x1=253.84, y1=294.80, found_y=294.80
DEBUG_CHAR: char='с', x0=253.84, y0=268.76, x1=264.86, y1=294.80, found_y=294.80
DEBUG_CHAR: char='п', x0=264.86, y0=268.76, x1=278.42, y1=294.80, found_y=294.80
DEBUG_CHAR: char='о', x0=278.42, y0=268.76, x1=292.15, y1=294.80, found_y=294.80
DEBUG_CHAR: char='д', x0=292.15, y0=268.76, x1=306.68, y1=294.80, found_y=294.80
DEBUG_CHAR: char='ь', x0=306.60, y0=268.76, x1=318.84, y1=294.80, found_y=294.80
